# Node, all count, hit count, without preloading, with preloading
317, 742, 89, 660815, 597731
318, 743, 89, 662411, 599327
318, 744, 89, 663690, 600606
319, 745, 89, 665694, 602610
319, 746, 89, 666114, 603030
319, 747, 90, 666535, 603090
319, 748, 91, 666951, 603150
319, 749, 92, 667362, 603210
320, 750, 92, 668937, 604785
320, 751, 92, 668976, 604824
320, 752, 93, 673056, 604884
320, 753, 94, 673233, 604944
320, 754, 94, 673430, 605141
321, 755, 94, 673608, 605319
322, 756, 94, 673649, 605360
323, 757, 94, 676756, 608467
324, 758, 94, 680209, 611920
325, 759, 94, 682748, 614459
325, 760, 94, 684790, 616501
326, 761, 94, 687883, 619594
326, 762, 94, 688941, 620652
326, 763, 94, 689241, 620952
326, 764, 94, 689271, 620982
327, 765, 94, 689574, 621285
328, 766, 94, 689861, 621572
329, 767, 94, 690148, 621859
330, 768, 94, 690442, 622153
331, 769, 94, 690731, 622442
332, 770, 94, 691029, 622740
333, 771, 94, 691447, 623158
334, 772, 94, 691731, 623442
335, 773, 94, 692016, 623727
336, 774, 94, 692313, 624024
336, 775, 94, 692598, 624309
337, 776, 94, 692892, 624603
338, 777, 94, 693183, 624894
339, 778, 94, 693472, 625183
340, 779, 94, 693756, 625467
341, 780, 94, 694183, 625894
341, 781, 94, 695747, 627458
341, 782, 94, 696472, 628183
341, 783, 94, 697438, 629149
341, 784, 94, 698417, 630128
341, 785, 94, 699894, 631605
341, 786, 94, 699933, 631644
341, 787, 94, 701203, 632914
341, 788, 94, 701860, 633571
341, 789, 94, 702683, 634394
341, 790, 94, 704926, 636637
341, 791, 94, 704946, 636657
341, 792, 94, 704967, 636678
341, 793, 94, 705826, 637537
341, 794, 94, 706439, 638150
341, 795, 94, 708077, 639788
341, 796, 94, 708932, 640643
341, 797, 94, 709789, 641500
341, 798, 94, 710474, 642185
341, 799, 94, 711177, 642888
341, 800, 95, 711831, 642948
341, 801, 96, 712642, 643008
342, 802, 96, 713094, 643460
342, 803, 96, 713175, 643541
342, 804, 97, 713847, 643601
342, 805, 98, 714179, 643661
342, 806, 99, 714456, 643721
342, 807, 100, 714780, 643781
342, 808, 101, 715099, 643841
342, 809, 102, 715423, 643901
342, 810, 103, 715445, 643961
342, 811, 104, 716560, 644021
342, 812, 105, 717150, 644081
342, 813, 106, 717831, 644141
342, 814, 107, 718451, 644201
342, 815, 108, 719426, 644261
342, 816, 109, 720670, 644321
342, 817, 109, 721115, 644766
343, 818, 109, 721538, 645189
343, 819, 109, 721835, 645486
343, 820, 109, 722118, 645769
344, 821, 109, 722193, 645844
344, 822, 109, 722232, 645883
344, 823, 109, 722250, 645901
344, 824, 109, 722276, 645927
344, 825, 109, 722313, 645964
344, 826, 109, 722601, 646252
345, 827, 109, 722755, 646406
346, 828, 109, 723327, 646978
346, 829, 109, 724324, 647975
346, 830, 109, 724799, 648450
346, 831, 110, 725179, 648510
346, 832, 111, 725563, 648570
346, 833, 112, 726019, 648630
346, 834, 113, 726271, 648690
347, 835, 113, 727632, 650051
347, 836, 113, 727923, 650342
347, 837, 113, 728160, 650579
348, 838, 113, 729499, 651918
348, 839, 113, 729787, 652206
348, 840, 113, 730033, 652452
349, 841, 113, 731351, 653770
349, 842, 113, 732505, 654924
350, 843, 113, 733581, 656000
350, 844, 113, 733641, 656060
351, 845, 113, 734402, 656821
352, 846, 113, 734682, 657101
353, 847, 113, 734962, 657381
353, 848, 113, 734997, 657416
354, 849, 113, 735032, 657451
355, 850, 113, 735033, 657452
356, 851, 113, 735034, 657453
357, 852, 113, 735498, 657917
358, 853, 113, 737395, 659814
359, 854, 113, 738625, 661044
359, 855, 113, 739228, 661647
360, 856, 113, 740502, 662921
361, 857, 113, 741957, 664376
361, 858, 113, 742505, 664924
362, 859, 113, 744228, 666647
363, 860, 113, 745500, 667919
363, 861, 113, 746060, 668479
363, 862, 113, 747799, 670218
363, 863, 113, 748070, 670489
363, 864, 113, 748342, 670761
364, 865, 113, 749471, 671890
365, 866, 113, 751317, 673736
366, 867, 113, 752561, 674980
367, 868, 113, 752654, 675073
